b_over_M,r1_over_M,r2_over_M,r3_over_M,dr1_db,dr2_db,dr3_db
7.989830508474577,7.049164532263718,,,0.992956750826,,
8.104406779661018,7.1629447893421885,,,0.9931445231338571,,
8.218983050847458,7.276746124683542,,,0.9933248839440054,,
8.3335593220339,7.390567711900206,,,0.9934982183078915,,
8.44813559322034,7.5044087672517215,,,0.9936648865872684,,
8.56271186440678,7.6182685469283395,,,0.9938252263325111,,
8.677288135593221,7.732146344540123,,,0.9939795539844312,,
8.791864406779661,7.846041488790534,,,0.9941281664534145,,
8.906440677966103,7.959953341327417,,,0.9942713425448915,,
9.021016949152543,8.073881294743193,,,0.9944093442562547,,
9.135593220338983,8.187824770723086,,,0.994542417991731,,
9.250169491525423,8.301783218323669,,,0.9946707956584646,,
9.364745762711864,8.415756112372282,,,0.9947946956785358,,
9.479322033898306,8.529742951977465,,,0.9949143239192111,,
9.593898305084746,8.643743259141564,,,0.9950298745492177,,
9.708474576271186,8.757756577467386,,,0.995141530827695,,
9.823050847457626,8.87178247095157,,,0.9952494658316127,,
9.937627118644068,8.985820522857955,,,0.9953538431273259,,
10.05220338983051,9.099870334664818,,,0.9954548173909146,,
10.16677966101695,9.213931525080413,,,0.9955525349819254,,
10.28135593220339,9.328003729121692,,,0.9956471344743321,,
10.39593220338983,9.442086597251478,,,0.9957387471482306,,
10.510508474576271,9.556179794569898,,,0.9958274974472587,,
10.625084745762713,9.670283000056344,,,0.9959135033929272,,
10.739661016949153,9.784395905855868,,,0.995996876998106,,
10.854237288135593,9.898518216615908,,,0.9960777246129169,,
10.968813559322033,10.012649648851912,,,0.9961561472597324,,
11.083389830508475,10.126789930360852,,,0.9962322409722262,,
11.197966101694917,10.240938799664534,,,0.9963060970722282,,
11.312542372881357,10.355096005486555,,,0.996377802448599,,
11.427118644067797,10.469261306259533,,,0.9964474398128971,,
11.541694915254237,10.583434469660627,,,0.9965150879380289,,
11.656271186440678,10.697615272173469,,,0.9965808218812882,,
11.77084745762712,10.811803498674783,,,0.9966447131926941,,
11.88542372881356,10.925998942044066,,,0.9967068301098436,,
12.0,11.040201402794867,,,0.9967374532984228,,
